"";"0401";"0403";"0404";"0405";"0406";"0408";"0409";"0410";"0411";"0412";"0413";"0414";"0415";"0416";"0417";"0418";"0419";"0420";"0421";"0422";"0423";"0424"
"401";0;0;0;1;0;1;1;1;0;1;1;0;1;1;0;1;0;1;0;1;1;0
"403";0;0;0;1;1;1;1;1;1;1;1;0;0;1;0;1;1;1;0;0;1;0
"404";0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1
"405";0;1;0;0;1;1;1;1;0;1;0;0;0;1;0;1;1;0;0;1;1;1
"406";0;1;0;1;0;1;1;1;0;1;1;0;0;1;0;1;0;0;0;1;1;1
"408";1;1;0;1;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0
"409";1;1;0;0;0;1;0;1;0;1;0;0;1;1;0;0;1;0;0;0;1;1
"410";1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1
"411";0;1;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;1;0;0
"412";0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1
"413";0;0;0;0;0;1;0;1;1;0;0;0;1;1;1;0;0;0;0;1;0;0
"414";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"415";0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;0;0;1;1;0;0;0
"416";1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1
"417";0;1;0;1;1;1;1;1;1;0;1;0;0;1;0;1;0;1;0;1;0;0
"418";1;0;0;1;1;0;0;0;0;0;0;1;0;1;1;0;0;1;0;1;0;0
"419";1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0;1;0;1;1;1
"420";0;1;0;0;0;0;0;0;1;1;1;0;0;1;0;1;0;0;0;0;0;0
"421";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0
"422";1;0;0;1;1;1;1;1;0;0;1;0;1;1;1;1;0;0;0;0;0;0
"423";0;1;0;1;1;1;1;1;0;0;0;0;0;1;0;1;0;0;0;0;0;1
"424";0;0;1;1;1;1;1;1;0;1;0;0;1;1;0;0;1;0;1;0;1;0
